observed,computed
0.8,-0.9465905732528085
0.8,-0.9738750617884564
1.9,1.2579414406753122
1.7,0.925087247305254
1.5,0.47196713577991545
0.8,-0.8017586696911582
0.9,-0.3521677079286634
1.0,0.7094174794167756
0.4,-1.708803668209513
0.5,-1.326609798031593
0.6,-0.3406696287735753
0.5,-1.1070068111017815
0.5,-1.8077070631234173
0.9,-0.07410194329445546
1.2,1.290027051431671
0.9,0.02886349357818272
1.7,2.7083929756263743
1.6,1.8259257586378543
1.6,2.482946450201049
2.3,3.330587833377141
2.2,3.2295613602003392
1.9,1.6495181823169012
2.1,2.278399801877063
1.3,0.27861559874722563
1.8,1.9560827664566918
2.0,2.1192871546589886
2.6,1.6465702753981286
2.2,2.0754693505519533
2.0,2.1814574566030687
2.3,2.2774350845463847
0.7,-0.49373637883199745
2.3,3.1526223919857554
2.3,1.8391299166835622
1.1,0.22230991842085582
1.6,1.2332637506561086
1.8,2.2377882389451274
2.2,3.0694926715042405
3.3,4.216800210673115
3.6,3.7623227466636266
2.5,1.1408473115440683
3.2,3.755126461666213
2.1,1.011588078941181
1.4,0.7125026308393626
2.4,0.6876225991013002
2.6,2.6881224979250304
2.9,3.7637153805294066
1.8,2.2046426520569242
2.3,3.137105371764737
2.9,4.128762368082103
2.5,3.9995170964684656
3.2,4.6676404445276924
3.3,5.540455211439266
2.9,4.8062094143985
3.8,6.741136290313015
2.6,4.563550434974915
2.5,3.808283789750857
2.7,4.8498224158986325
3.1,5.349154414983161
3.0,4.545497154787823
3.5,5.173840256417684
3.4,4.864908852732272
4.1,5.310309226627433
4.5,3.621998231299982
1.3,0.1723870581546915
1.9,2.13764483570091
3.0,3.5682853329209596
3.5,5.222688029540337
4.4,6.524410100594929
2.5,2.992416382821013
4.5,6.321179534805993
3.8,5.127678027878468
4.3,6.558245847802978
1.7,1.6844901598416266
2.9,4.713789566117268
3.1,4.803032441483048
3.9,6.264042516433715
4.1,6.913228251542108
3.5,6.194477308835735
3.7,6.22210433445718
1.9,2.33977718554639
2.5,4.253537910382205
1.7,2.061368766383422
2.5,3.5693000549675507
4.4,6.988558283104007
4.9,7.295501214478922
4.5,6.518723659937652
5.3,7.648234130730356
5.7,7.724190303284889
6.4,8.331796713542783
5.3,6.627122273679129
5.9,7.627617509671706
6.1,8.490635024950985
4.2,5.4119366372564475
4.3,6.015250936781146
6.6,9.124893995690458
6.2,8.494078024411998
5.9,7.588848941198953
5.6,6.892278843382199
6.7,8.130036291603929
7.3,8.512062567226762
7.4,9.603555719179633
6.5,8.662914350031148
7.2,9.01466175431901
7.7,9.041417443579794
8.4,9.735363677850195
7.8,8.782801186144551
8.7,10.13251352036403
8.7,11.183596053913757
6.5,9.319903011691947
7.6,9.623594539935802
9.3,10.385349596378964
8.7,9.35988865942248
9.4,10.814656787246676
8.4,9.87002085799778
9.6,10.20495091091706
7.6,7.496305774591131
10.2,10.228946334005645
8.8,8.156263852223159
9.1,9.682267125945954
8.0,13.9775897517902
8.6,10.689805673116197
8.4,10.788335798567813
8.0,9.697735224406705
9.8,10.47238574913096
11.1,10.939192710492275
11.6,10.760114210893324
11.7,9.646216192110986
13.2,11.576146271442413
10.0,9.863579547090985
10.8,10.216786490956599
11.5,10.379810717680845
12.2,10.711287993416068
12.5,11.195975431897134
11.2,9.78004480408938
9.5,8.991295500719916
8.6,9.437794901700626
8.5,10.417313250641117
7.8,10.078834863339276
4.0,4.328063362158314
3.0,2.5200913710685926
7.1,9.042673753809773
8.8,10.167217860136846
10.0,11.426565414771412
7.5,9.83731933964164
6.5,8.836235739762218
6.7,8.991542292919387
7.7,9.874214912867679
8.3,9.837697651346778
9.1,10.524427464111692
8.8,10.065543604305054
10.2,11.486815646518577
10.2,10.967388588346603
12.0,11.377547659804396
12.3,11.023572944568418
11.6,10.592914778947522
7.1,6.786865570835039
7.5,6.578185842722167
9.5,9.162580392949149
12.3,11.824627473408286
12.7,12.006818779045693
12.2,11.47697814615887
11.8,11.073466727952294
13.6,12.183980275364103
12.3,11.178847939764612
10.8,11.313119440897072
10.2,11.444111476917335
10.2,11.20542863271046
11.1,11.979829940679807
10.7,11.64432202573315
11.6,12.131254355269071
10.8,11.795161596741602
11.2,12.12724407944393
9.6,10.358250603646578
11.9,11.430457774360118
13.5,12.048725528825894
13.5,11.663259054143747
13.3,11.35957530174432
12.5,11.27161594926494
11.8,11.683378742504889
11.5,11.817419877885545
11.3,11.59890100899559
10.8,11.561759010654635
11.9,12.131884861110398
11.8,12.447641538986746
10.9,11.675833707009836
11.8,12.155686441129546
12.0,11.896331183231856
13.1,11.889080437437437
12.4,11.80379100223296
11.6,10.679534134274652
11.6,11.55457505009248
10.7,11.134822412584748
12.3,11.567819171914444
12.8,18.986007819786423
12.7,10.971270657715758
13.5,11.56417710567172
13.3,12.328723482603394
10.1,12.034768004325368
9.5,10.842708577333598
10.0,10.601299870303672
8.7,8.914735176977649
8.7,9.752850509402451
10.5,11.707492415401944
11.3,11.739463362064733
10.9,10.89924677969128
11.7,11.841447558826813
11.6,11.555593699966463
11.4,11.290166407673986
12.9,12.334589727831961
12.9,12.531004187481827
12.0,11.835551301727037
11.7,11.380524365473663
11.9,11.305831000193557
12.7,11.028523151321712
12.9,10.881565923747951
14.2,11.866545711537135
14.2,12.12381445825575
12.8,11.463327490377754
11.2,10.782117825597311
10.6,10.337849054525652
11.2,10.693214030392248
11.0,10.45604812484626
10.9,10.732660039964818
10.1,10.273428289940346
9.9,10.662777683119687
9.0,10.64051819543413
8.3,9.420647269731036
8.9,9.247579901419455
10.8,10.314881667333777
10.2,10.309413232607177
7.6,7.950452707512155
6.7,6.824952478681318
8.7,9.485626815854593
8.6,9.359973276192532
8.1,8.582367070599593
9.3,9.717224613110321
9.8,9.520805762268479
9.4,8.939611768553092
9.5,9.194221091359157
9.9,9.09034152816354
10.7,9.301412983528287
11.2,9.605557606001572
10.9,9.01037299527659
10.2,8.644594443134807
9.0,7.212983085323521
11.2,9.447616304966381
9.8,9.705228638374743
8.1,9.175009324373246
6.2,7.0993265850070655
7.5,8.286404854500786
7.5,7.969854222825334
9.2,8.575040987232747
7.8,8.441518927292725
8.0,8.730701222945715
7.1,8.069869760754987
6.4,7.481231389518555
6.7,7.870965236902273
6.9,7.550438795694399
7.5,8.050487451961775
8.0,8.267536431209574
8.7,8.578668715369625
8.4,8.457192270416652
7.2,7.22700082267806
7.4,7.424899906066121
8.2,7.3477438403461734
7.3,6.705012540157967
7.9,8.047977089727791
7.1,7.599384724843771
6.6,7.0319526038204305
7.2,7.302196659282409
7.8,7.668583547466663
7.2,6.859743066620269
7.6,7.186067043372768
8.4,7.811881615925904
7.3,7.195868522294539
7.9,7.5662486090736145
7.6,7.387741795248965
7.2,7.184548907968399
8.1,7.4604659130241515
7.6,7.437686491114076
5.8,6.197037953104136
5.7,6.141076556819753
4.9,5.575927026354119
5.4,5.8217521575484925
5.7,6.330430935101233
4.4,5.102309169521305
4.8,5.531253826612187
4.7,5.3451530097760305
5.4,6.159720932785039
4.7,5.517315557648804
5.2,5.835263994307105
5.1,5.867796453322572
4.7,4.752276365144516
4.0,3.997926605314318
2.0,1.0799367407071476
3.3,3.4124089983751893
3.0,3.0316784612822576
3.7,3.91113015243493
3.8,3.675594900622273
2.4,1.096704123233041
2.5,2.305363075496343
2.3,1.9104830256835141
1.7,0.5640379783072602
1.0,2.5365634323998947
1.8,0.42784107403345323
2.1,1.7664812689579557
2.1,2.4426333314727198
1.7,1.3007401436134545
2.7,2.779961300637772
2.1,1.6808002097649493
2.1,2.3223661330569856
2.1,2.210019338799035
2.8,3.655825253588209
1.6,1.3447847155220076
0.8,-0.788441591730499
0.5,-1.804398744596892
0.7,-0.9206356870363835
1.7,1.0576641760942223
1.5,1.4784410079741557
1.7,1.9949622875070279
1.0,-0.7683628223629402
1.0,-0.006554359112273892
1.8,2.001714015664792
2.0,2.162331851838006
0.5,-1.4445379550457296
0.7,-0.9651752746301662
0.9,-0.02428065499039318
1.0,0.45696207228789626
0.7,-0.6498296252296268
1.2,1.1818503668160776
1.3,1.2672690267040525
1.4,1.6499638576335522
1.2,1.2352621661339354
1.4,0.1795545489652003
2.0,1.3742160388817513
1.6,1.3766828077422775
2.1,2.4221806436687885
1.5,0.7743803974352089
1.4,0.42492995669263095
1.3,0.508116680558696
1.9,2.7477849934277208
0.7,-1.200374493099589
1.1,0.5049468103185838
1.4,0.6378853241458402
1.2,-0.02336261259951874
1.1,0.5501054958061026
1.4,2.2374664959502732
1.1,1.1293666744954978
2.3,1.972744370254912
3.3,1.97136546995889
0.6,-1.4103430722402526
0.9,0.33506607146981043
0.7,-0.46197861205509483
0.3,-1.8873007093443108
0.1,-2.3088375365866063
0.2,-1.9856988812901986
1.0,1.6889583387046894
1.2,2.409500709044795
1.7,2.928604859531146
1.9,1.700558667975273
1.5,0.14790167923045142
0.4,-1.3007011434855018
0.9,0.35760397778002456
0.7,0.7836613672404465
0.2,-2.134777457442649
0.4,-1.7245773251670278
1.2,0.110915964647745
1.3,-0.3702184921796931
0.9,0.13510180564078172
0.4,-1.250024706374768
0.1,-2.0816373929739718
0.8,-0.025420759819864882
0.3,-1.7107426210144057
0.4,-1.4753716732009599
2.0,3.127431955436371
1.2,1.4215815621202423
1.2,1.5587657357111548
1.1,0.828508350178627
0.8,-0.4918668696263869
0.6,-0.14954241706564775
1.8,2.3670251104413897
2.3,2.775856715606048
1.3,1.9526734937910457
1.2,1.8216095815860196
0.5,-0.4132444922634593
1.7,2.753402009443239
1.3,1.3453117056706174
1.5,2.305816244778038
1.7,2.5486121033467524
1.3,1.2849212078462728
1.7,1.7946526271597376
1.9,0.470984873702865
2.9,2.818784190688731
2.3,3.6790311823887514
1.5,2.583154908474884
1.8,3.204293403839717
1.7,2.780783871688748
1.8,2.9850202223435787
1.8,2.8520884758097487
1.9,2.7774436332347574
2.0,2.611400739566139
2.3,3.298730426574656
2.6,3.6131201526552292
2.6,3.3261020993863046
