observed,computed
0.8,-0.8354423402521491
0.8,-0.8787885524958022
1.9,0.9373190714921185
1.7,0.45819189320562986
1.5,0.3480219081235343
0.8,-0.7785104231696438
0.9,-0.3566255314601165
1.0,0.6627007267877028
0.4,-1.4170341842068004
0.5,-1.0735123209540598
0.6,-0.2625304243473332
0.5,-0.9387563007935811
0.5,-1.5009919428409744
0.9,0.08323967868976241
1.2,1.1713179650893233
0.9,0.11524226687765789
1.7,2.7120753308874956
1.6,1.970158334553111
1.6,2.3696480582361015
2.3,3.245775850868668
2.2,3.1726985764692777
1.9,1.623958158535768
2.1,1.8201177293038435
1.3,0.29251480403000946
1.8,1.7531335608698262
2.0,1.757743664873332
2.6,1.1235761886871565
2.2,1.6725883980475584
2.0,1.7871369537124344
2.3,1.8173818477561037
0.7,-0.5423614051361135
2.3,2.6789095377666614
2.3,1.4847607749600626
1.1,-0.08879689293338938
1.6,0.9866621592992906
1.8,1.867598088270565
2.2,2.666451670506039
3.3,3.6505478671238727
3.6,3.244881851869841
2.5,0.8207509658153204
3.2,2.874573076013082
2.1,0.6759447305937273
1.4,0.29437463979941586
2.4,0.21996706245790268
2.6,2.169769783229187
2.9,2.968560135765984
1.8,1.7776105847478116
2.3,2.7560291553734975
2.9,3.49950639573173
2.5,3.43192409533349
3.2,4.150049875810004
3.3,4.752784450757904
2.9,4.110895694674365
3.8,5.69108380230729
2.6,3.860203545714283
2.5,3.1977658836806406
2.7,4.264587685450388
3.1,4.7215300129291
3.0,4.0211966755303195
3.5,4.442190127903884
3.4,4.125650576833892
4.1,4.5903110388522945
4.5,3.0814269267203245
1.3,-0.3155205903233378
1.9,1.3663452270293925
3.0,2.8429394688981606
3.5,4.2506543452326495
4.4,5.3856584598406165
2.5,2.3535707379182242
4.5,5.251123710807401
3.8,4.169681838912022
4.3,5.411429500439989
1.7,1.2121126747734994
2.9,3.7809197988750705
3.1,3.945196734238816
3.9,5.196900356673136
4.1,5.7561905661682085
3.5,5.265870176683492
3.7,5.446746174987021
1.9,1.6659083324031827
2.5,3.5805828813942364
1.7,1.5654707748496148
2.5,2.9042054246957036
4.4,5.834580717320608
4.9,6.091963928070726
4.5,5.392182631939616
5.3,6.415256244858042
5.7,6.537228208091303
6.4,7.131293380208139
5.3,5.505555410423349
5.9,6.352423982330351
6.1,6.887449357692189
4.2,4.2928252660592
4.3,4.88127299303794
6.6,7.607613676227436
6.2,7.011822747205851
5.9,6.230143787573133
5.6,5.647637723479369
6.7,6.619337854888338
7.3,6.9235925868541495
7.4,7.8014733428604215
6.5,7.228764438382989
7.2,7.548928525930183
7.7,7.58565829424963
8.4,8.103294513991063
7.8,7.308744443489603
8.7,8.319796320029164
8.7,9.43583078920929
6.5,8.063318162734435
7.6,8.262674395981689
9.3,8.813127669020234
8.7,7.85274954211986
9.4,9.02693462905474
8.4,8.175279361126446
9.6,8.44951677002878
7.6,6.146169655259554
10.2,8.40697980493582
8.8,6.697726931889186
9.1,7.990861737537467
8.0,6.535166551521481
8.6,8.89148647596006
8.4,9.00391251766533
8.0,8.036299812693875
9.8,8.67952471559129
11.1,8.986537155386383
11.6,8.784178617178457
11.7,7.902656124443125
13.2,9.432517125342871
10.0,7.995678677453739
10.8,8.254430961214075
11.5,8.376742720582254
12.2,8.598754396022775
12.5,9.006219247251826
11.2,7.850659860761648
9.5,7.081885588125784
8.6,7.536073622758461
8.5,8.44829222206788
7.8,8.177555107784045
4.0,3.3306282307576045
3.0,1.8893633330258677
7.1,7.316744810218241
8.8,8.276783722059069
10.0,9.455221086691296
7.5,8.130714186587301
6.5,7.311421565261727
6.7,7.366590603075998
7.7,8.065878548366662
8.3,8.0994563617539
9.1,8.634657691356928
8.8,8.327735483790756
10.2,9.337856009949908
10.2,8.96867100782419
12.0,9.24186188045018
12.3,8.929783867188927
11.6,8.553141110925662
7.1,5.332504505443429
7.5,5.103732896099608
9.5,7.281731406603955
12.3,9.546896584679006
12.7,9.695936299408764
12.2,9.271758645217966
11.8,8.918413901147717
13.6,9.88429557631193
12.3,9.024976557505175
10.8,9.174197064690604
10.2,9.353877649930999
10.2,9.124962615137234
11.1,9.876578121113166
10.7,9.57481540272364
11.6,9.91842305637156
10.8,9.633199630249452
11.2,9.799935678471389
9.6,8.446892864460049
11.9,9.307342291771892
13.5,9.817126961557005
13.5,9.408983135244176
13.3,9.164666921677904
12.5,9.152523967922932
11.8,9.487733268825083
11.5,9.515250693168994
11.3,9.36257344612
10.8,9.389409291899865
11.9,9.890384558463818
11.8,10.149566022275371
10.9,9.548577690027779
11.8,9.931831164881626
12.0,9.728089960836494
13.1,9.627064133049299
12.4,9.52833960491881
11.6,8.550021529991477
11.6,9.30346534896836
10.7,8.99004359362586
12.3,9.312291016494964
12.8,7.324987225503641
12.7,8.757019770045272
13.5,9.259986371931863
13.3,9.953539101870808
10.1,9.980675650108184
9.5,8.93273639910021
10.0,8.713799438881077
8.7,7.328636372352157
8.7,8.042202441682592
10.5,9.687187987691011
11.3,9.647679450987205
10.9,8.877661360769942
11.7,9.694746552426855
11.6,9.466823658051958
11.4,9.211064813594312
12.9,10.095642112193776
12.9,10.253179983216402
12.0,9.701620925340855
11.7,9.331777711026653
11.9,9.211788060024727
12.7,8.896664548378931
12.9,8.739466663344693
14.2,9.64258859159249
14.2,9.824931663060411
12.8,9.321985494646825
11.2,8.75044094689567
10.6,8.354073080375661
11.2,8.649209208508074
11.0,8.451398183187957
10.9,8.72452516765959
10.1,8.327275662155335
9.9,8.672953045277708
9.0,8.6471789488596
8.3,7.638448955620866
8.9,7.516649141340518
10.8,8.36790915618661
10.2,8.35292818499126
7.6,6.362969492680615
6.7,5.443059800263571
8.7,7.779810021313141
8.6,7.669372334077053
8.1,6.990702884309971
9.3,7.937915218958146
9.8,7.779819748300846
9.4,7.2214720708492335
9.5,7.396064931660837
9.9,7.290317073732119
10.7,7.489793124125271
11.2,7.734980760370026
10.9,7.187436676655281
10.2,6.912719621761616
9.0,5.6555213810035365
11.2,7.642511114257251
9.8,7.9684579765632
8.1,7.497347855486126
6.2,5.728762439234728
7.5,6.712936509609004
7.5,6.504233672499785
9.2,7.000909323018467
7.8,6.820926482945284
8.0,7.088259744376724
7.1,6.507262716029857
6.4,6.046556169533046
6.7,6.331574710359463
6.9,6.114985981483793
7.5,6.547980378844289
8.0,6.834992685234938
8.7,7.102806974161819
8.4,6.963944735656698
7.2,5.99034757548752
7.4,6.1085759800562665
8.2,6.016667619548561
7.3,5.4430992824858615
7.9,6.570286654931499
7.1,6.108212352837744
6.6,5.656662124633242
7.2,5.958984127068457
7.8,6.301591507642189
7.2,5.6268148757065575
7.6,5.840535342019402
8.4,6.3233908000609365
7.3,5.85338754906602
7.9,6.206495138339162
7.6,6.115001410911114
7.2,5.944152527750303
8.1,6.168564625991819
7.6,6.107966355479475
5.8,5.02477199233629
5.7,4.9147870423268865
4.9,4.5335272083202565
5.4,4.78748630556918
5.7,5.077503357398705
4.4,4.093502084732762
4.8,4.502215853259095
4.7,4.386093304829914
5.4,5.143346618949089
4.7,4.573669701011197
5.2,4.92569067315191
5.1,4.970942653838958
4.7,3.973391674554273
4.0,3.2095663513813726
2.0,0.41883608762745084
3.3,2.4890040661510096
3.0,2.2586759448190072
3.7,3.1594071995633617
3.8,2.983625147462524
2.4,0.7051872088376568
2.5,1.5195560314389847
2.3,1.3010111563794882
1.7,0.14117893331685405
1.0,-2.6127644887625836
1.8,-0.04313541823577194
2.1,1.4138085605901762
2.1,2.060110816987065
1.7,0.9171750406893521
2.7,2.1415864402420324
2.1,1.3102326768529617
2.1,1.889459092655394
2.1,1.8079061449396034
2.8,3.046440895384855
1.6,0.9639864169111597
0.8,-0.8549799531472709
0.5,-1.8606129776656173
0.7,-1.1739738641667066
1.7,0.7489607294861907
1.5,1.3786029894650176
1.7,1.7543231562828128
1.0,-0.8786204120680601
1.0,-0.1922275268569592
1.8,1.835799984537681
2.0,1.894031997680502
0.5,-1.3583027188549326
0.7,-0.892618542384737
0.9,-0.00847642189860975
1.0,0.4491326204608949
0.7,-0.600243189652277
1.2,1.2035958958480546
1.3,1.2868083766036904
1.4,1.4824645857205607
1.2,1.097947194770414
1.4,0.2617052632845262
2.0,1.2887697185510725
1.6,1.2752973510625356
2.1,2.019437183084615
